,Response_No,Tab_No,Survey_Date,AC_Name,Mandal_Name,Village_Name
70,290,254,2015-07-13,Nandigama,Chanderlapadu,Muppalla
71,292,459,2015-06-23,Tiruvuru,Gampalagudem,GAMPALAGUDEM
72,293,332,2015-02-06,,,
73,293,375,2015-08-07,,,
74,295,360,2015-06-29,Mylavaram,Mylavaram,pullur
75,297,69,2015-01-06,,,
76,298,74,2015-05-06,,,
77,299,370,2015-06-25,Mylavaram,Mylavaram,Chandragudem
78,301,99,2015-05-29,Mylavaram,Vijayawada (R),paidurpadu
79,302,487,2015-07-15,,,
80,303,5,2015-07-18,Nandigama,Chanderlapadu,Chanderlapadu
81,303,117,2015-07-23,Jaggaiahpeta,Vatsavai,Vatsavai
82,305,432,2015-11-07,,,
83,308,355,2015-05-21,Mylavaram,Mylavaram,Tholukodu
84,308,340,2015-06-21,Tiruvuru,Tiruvuru,Kokilampadu
85,309,159,2015-12-06,,,
86,310,441,2015-05-24,Tiruvuru,Gampalagudem,KANUMURU
87,311,251,2015-06-19,Nandigama,Chanderlapadu,Eturu
88,311,298,2015-06-19,Nandigama,Nandigama,Ambarupeta
89,314,46,2015-06-24,Tiruvuru,Gampalagudem,GAMPALAGUDEM
90,314,49,2015-06-28,,,
91,316,127,2015-06-06,Jaggaiahpeta,Vatsavai,Gopinenipalem
92,317,401,2015-03-07,,,
93,318,358,2015-05-29,Mylavaram,Mylavaram,Morsumalli
94,319,305,2015-06-29,Nandigama,Nandigama,Peddavaram
95,323,248,2015-06-14,Nandigama,Chanderlapadu,Kodavatikallu
96,323,305,2015-06-30,Nandigama,Nandigama,Peddavaram
97,329,269,2015-06-25,Mylavaram,Reddygudem,Reddygudem
98,330,74,2015-06-22,,,
99,332,147,2015-06-19,Jaggaiahpeta,Jaggaiahpeta,S M Peta
100,332,176,2015-06-15,Mylavaram,G. Konduru,Kavuluru
101,333,488,2015-11-06,,,
102,333,472,2015-06-17,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
103,334,458,2015-06-06,Tiruvuru,Gampalagudem,ARLAPADU
104,334,180,2015-06-23,Mylavaram,G. Konduru,Gaddamanugu
105,334,402,2015-06-29,Tiruvuru,A.Konduru,Ramachandrapuram
106,334,10,2015-06-30,Nandigama,Kanchikacherla,Gottimukkala
107,335,389,2015-05-06,,,
108,338,428,2015-05-25,Nandigama,Veerullapadu,Thati Gummi
109,338,326,2015-03-07,,,
110,341,290,2015-06-13,Mylavaram,Reddygudem,kudapa
111,341,300,2015-09-07,,,
112,342,173,2015-06-26,Mylavaram,G. Konduru,Kavuluru
113,343,360,2015-05-26,Mylavaram,Mylavaram,k.r.gudem
114,344,431,2015-05-07,,,
115,345,329,2015-05-06,,,
116,347,473,2015-05-27,Jaggaiahpeta,Penuganchiprolu,Lingaguduam
117,348,382,2015-03-06,,,
118,349,424,2015-10-06,,,
119,351,109,2015-06-23,Nandigama,Veerullapadu,Dodda Devara Padu
120,353,301,2015-06-19,Nandigama,Nandigama,Lingalapadu
121,355,93,2015-08-06,,,
122,356,431,2015-02-07,,,
123,359,249,2015-07-06,,,
124,361,63,2015-05-29,Mylavaram,Ibrahimpatnam,Elaprolu
125,361,21,2015-06-24,Nandigama,Veerullapadu,G.Madhavaram
126,362,414,2015-05-22,Tiruvuru,Tiruvuru,Vamakuntla
127,362,405,2015-03-07,,,
128,369,290,2015-01-07,,,
129,370,299,2015-06-16,Jaggaiahpeta,Nadigama,Jonnalagadda
130,372,128,2015-05-24,Jaggaiahpeta,Vatsavai,Talluru
131,374,358,2015-06-13,Mylavaram,Mylavaram,pullur
132,377,208,2015-10-06,,,
133,379,489,2015-07-14,,,
134,379,175,2015-09-07,,,
135,379,311,2015-07-23,,,
136,381,207,2015-05-22,Nandigama,Kanchikacherla,Perakalapadu
137,382,380,2015-07-24,,,
138,383,181,2015-12-06,,,
139,384,208,2015-04-06,,,
140,387,246,2015-07-19,Mylavaram,Ibrahimpatnam,Kondapalli
141,388,39,2015-11-06,,,
142,388,262,2015-07-16,Mylavaram,Ibrahimpatnam,Kondapalli
143,394,460,2015-03-07,,,
144,396,216,2015-06-07,Nandigama,Chanderlapadu,Kandrapadu
145,397,327,2015-05-25,Tiruvuru,Tiruvuru,Vamakuntla
146,401,422,2015-11-07,,,
147,404,277,2015-06-22,Mylavaram,Reddygudem,Reddygudem
148,404,467,2015-07-07,Tiruvuru,Gampalagudem,VUTUKURU
149,408,37,2015-06-23,Nandigama,Veerullapadu,G.Madhavaram
150,409,198,2015-09-07,,,
151,412,47,2015-09-06,,,
152,414,49,2015-10-06,,,
153,414,455,2015-03-07,,,
154,415,214,2015-01-06,,,
155,418,464,2015-08-06,,,
156,418,478,2015-06-18,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
157,418,287,2015-07-18,Mylavaram,Ibrahimpatnam,Kondapalli
158,419,214,2015-07-06,Nandigama,Kanchikacherla,Kanchikacherla
159,420,238,2015-03-07,,,
160,423,407,2015-02-07,,,
161,424,358,2015-05-26,Mylavaram,Mylavaram,Pondugala
162,426,352,2015-07-17,,,
163,426,204,2015-07-21,Nandigama,Kanchikacherla,Kanchikacherla
164,427,278,2015-05-31,Mylavaram,Reddygudem,Rangapuram
165,427,162,2015-11-06,,,
166,427,124,2015-10-07,,,
167,429,193,2015-05-30,Mylavaram,G. Konduru,Kuntamukkala
168,431,467,2015-05-06,,,
169,434,269,2015-05-23,Mylavaram,Reddygudem,Rudra varam
170,435,317,2015-06-06,Jaggaiahpeta,Nadigama,Somavaram
171,436,41,2015-06-13,Nandigama,Veerullapadu,Vellanki
172,436,251,2015-09-07,,,
173,437,262,2015-05-31,Mylavaram,Reddygudem,K-Naguluru
174,437,356,2015-06-24,Mylavaram,Reddygudem,Reddygudem
175,437,427,2015-06-27,Tiruvuru,Vissannapeta,Tatakuntla
176,438,397,2015-03-06,,,
177,438,460,2015-05-06,,,
178,439,380,2015-06-15,Mylavaram,Mylavaram,Chandragudem
179,439,21,2015-06-17,Nandigama,Veerullapadu,G.Madhavaram
180,439,130,2015-01-07,,,
181,441,56,2015-05-31,Tiruvuru,Gampalagudem,KANUMURU
182,441,258,2015-06-19,Jaggaiahpeta,Jaggaiahpeta,Bandipalem
183,442,499,2015-05-29,Jaggaiahpeta,Penuganchiprolu,Totacharla
184,442,433,2015-11-06,,,
185,443,393,2015-01-07,,,
186,444,378,2015-05-31,Mylavaram,Mylavaram,Morsumalli
187,444,1,2015-09-07,,,
188,445,383,2015-06-23,Tiruvuru,A.Konduru,Cheemalapadu
189,446,320,2015-06-20,Nandigama,Nandigama,Pallagiri
190,449,213,2015-12-06,,,
191,451,252,2015-03-07,,,
192,453,257,2015-09-06,,,
193,455,215,2015-01-06,,,
194,455,1,2015-07-20,Nandigama,Chanderlapadu,Chanderlapadu
195,456,479,2015-06-22,Jaggaiahpeta,Penuganchiprolu,Anigallapadu
196,457,356,2015-06-17,Mylavaram,Reddygudem,Reddygudem
197,458,315,2015-09-06,,,
198,458,398,2015-12-06,,,
199,458,244,2015-06-17,Jaggaiahpeta,Jaggaiahpeta,Govrawaram
200,461,457,2015-05-24,Tiruvuru,Gampalagudem,PEDAKOMERA
201,461,235,2015-03-06,,,
202,465,341,2015-05-30,Tiruvuru,Tiruvuru,Munukulla
203,467,134,2015-06-24,Jaggaiahpeta,Vatsavai,Chityala
204,467,357,2015-07-14,,,
205,470,414,2015-03-07,,,
206,472,421,2015-06-19,,,
207,473,67,2015-11-07,,,
208,474,22,2015-06-30,Nandigama,Veerullapadu,Jayanthi
209,482,301,2015-06-28,Nandigama,Nandigama,Thakkellapadu
210,485,475,2015-02-06,,,
211,485,455,2015-06-22,Tiruvuru,Gampalagudem,GAMPALAGUDEM
212,488,148,2015-05-30,Jaggaiahpeta,Jaggaiahpeta,Vedadri
213,488,228,2015-06-14,Nandigama,Kanchikacherla,Vemulapalli
214,489,271,2015-08-07,,,
215,491,480,2015-06-28,Jaggaiahpeta,Penuganchiprolu,Nawabpeta
216,492,286,2015-06-19,Mylavaram,Reddygudem,Reddygudem
217,493,150,2015-09-07,,,
218,495,197,2015-06-23,Mylavaram,G. Konduru,Gaddamanugu
219,496,381,2015-06-24,Tiruvuru,A.Konduru,Madhavaram
220,497,401,2015-06-29,Tiruvuru,A.Konduru,A. Konduru
221,497,142,2015-06-07,Nandigama,Chanderlapadu,Kandrapadu
222,499,63,2015-06-22,,,
223,500,6,2015-07-13,Tiruvuru,Vissannapeta,Vissannapeta
224,501,250,2015-02-06,,,
225,501,263,2015-06-07,Mylavaram,Mylavaram,Morsumalli
226,502,262,2015-05-24,Mylavaram,Reddygudem,Patha naguluru
227,504,253,2015-07-14,Mylavaram,Ibrahimpatnam,Kondapalli
228,506,346,2015-07-06,Tiruvuru,Tiruvuru,G.Kothuru
229,506,421,2015-12-06,,,
230,506,443,2015-11-07,,,
231,507,318,2015-12-07,,,
232,508,91,2015-06-28,,,
233,511,388,2015-06-26,Tiruvuru,A.Konduru,Khampampadu
234,512,119,2015-07-16,,,
235,514,289,2015-05-22,Mylavaram,Reddygudem,Rudra varam
236,515,383,2015-12-06,,,
237,515,462,2015-08-07,,,
238,521,39,2015-03-07,,,
239,522,229,2015-06-27,Nandigama,Chanderlapadu,Veladi Kothapalem
240,523,494,2015-06-06,Jaggaiahpeta,Penuganchiprolu,Sanagapadu
241,523,365,2015-06-19,Mylavaram,Mylavaram,pullur
242,523,312,2015-07-14,Nandigama,Nandigama,Peddavaram
243,524,134,2015-01-07,,,
244,526,10,2015-06-25,Nandigama,Kanchikacherla,Gottimukkala
245,527,360,2015-05-28,Mylavaram,Mylavaram,k.r.gudem
246,528,215,2015-07-06,Nandigama,Kanchikacherla,Kanchikacherla
247,530,48,2015-06-13,Tiruvuru,Gampalagudem,KONIJARAL
248,533,443,2015-06-27,Tiruvuru,Gampalagudem,RAJAVARAM
249,541,424,2015-07-21,,,
250,542,443,2015-05-06,,,
251,543,384,2015-01-06,,,
252,543,41,2015-01-07,,,
253,544,139,2015-06-30,Jaggaiahpeta,Vatsavai,Polampalli
254,546,301,2015-08-07,,,
255,547,464,2015-06-26,Tiruvuru,Gampalagudem,LINGALA
256,549,264,2015-02-06,,,
257,549,245,2015-06-15,Jaggaiahpeta,Jaggaiahpeta,Anumanchipalli
258,553,25,2015-02-06,,,
259,553,242,2015-04-06,,,
260,553,124,2015-11-07,,,
261,554,286,2015-11-06,,,
262,562,134,2015-05-23,Jaggaiahpeta,Vatsavai,Gangavelli
263,563,364,2015-06-26,Mylavaram,Mylavaram,Velvadam
264,565,5,2015-06-16,Nandigama,Chanderlapadu,Chinthalapadu
265,566,408,2015-06-27,Tiruvuru,A.Konduru,Madhavaram
266,567,12,2015-05-27,Tiruvuru,Vissannapeta,Kondaparava
267,567,477,2015-12-06,,,
268,569,270,2015-06-17,Mylavaram,Reddygudem,Reddygudem
269,569,358,2015-06-15,Mylavaram,Mylavaram,pullur
270,570,350,2015-05-25,,,
271,570,253,2015-07-06,Jaggaiahpeta,Jaggaiahpeta,Budavada
272,570,351,2015-06-17,Mylavaram,Mylavaram,Velvadam
273,571,91,2015-05-29,Mylavaram,Ibrahimpatnam,Kethanakonda
274,572,386,2015-08-06,,,
275,572,7,2015-04-07,,,
276,573,355,2015-06-24,Mylavaram,Mylavaram,Velvadam
277,575,299,2015-06-16,Jaggaiahpeta,Nadigama,Jonnalagadda
278,575,125,2015-07-13,Jaggaiahpeta,Vatsavai,Makkapeta
279,578,421,2015-12-06,,,
280,580,130,2015-06-17,Jaggaiahpeta,Vatsavai,Kanneveedu
281,581,490,2015-12-06,,,
282,583,494,2015-05-26,Jaggaiahpeta,Penuganchiprolu,Totacharla
283,583,268,2015-07-06,,,
284,583,306,2015-12-06,,,
285,585,129,2015-06-20,Jaggaiahpeta,Vatsavai,Chityala
286,587,242,2015-06-20,Jaggaiahpeta,Jaggaiahpeta,Gandrai
287,590,290,2015-04-06,,,
288,590,82,2015-07-06,,,
289,590,368,2015-07-14,Mylavaram,Ibrahimpatnam,Kondapalli
290,592,467,2015-05-31,Tiruvuru,Gampalagudem,KANUMURU
291,593,84,2015-06-17,Mylavaram,Ibrahimpatnam,Kachavaram
292,594,188,2015-06-06,Mylavaram,G. Konduru,Kuntamukkala
293,595,278,2015-12-06,,,
294,596,100,2015-05-28,Mylavaram,Vijayawada (R),Rayanipadu
295,596,274,2015-01-06,,,
296,597,360,2015-07-20,,,
297,599,221,2015-06-18,Nandigama,Chanderlapadu,Chinthalapadu
298,600,500,2015-06-29,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
299,601,218,2015-02-06,,,
300,601,410,2015-06-24,Tiruvuru,A.Konduru,Madhavaram
301,603,329,2015-06-13,Tiruvuru,Tiruvuru,Kakarla
302,603,119,2015-07-25,,,
303,607,262,2015-08-06,,,
304,611,121,2015-05-06,,,
305,611,492,2015-06-27,Jaggaiahpeta,Penuganchiprolu,Nawabpeta
306,617,168,2015-04-06,,,
307,617,215,2015-12-06,,,
308,617,352,2015-04-07,,,
309,619,111,2015-06-17,Jaggaiahpeta,Vatsavai,Machinenipalem
310,620,376,2015-07-18,Mylavaram,Ibrahimpatnam,Kondapalli
311,621,186,2015-05-23,Mylavaram,G. Konduru,Kandulapadu
312,622,285,2015-05-27,Mylavaram,Reddygudem,Rudra varam
313,622,167,2015-06-06,Jaggaiahpeta,Jaggaiahpeta,Mutyala
314,625,262,2015-02-06,,,
315,630,288,2015-06-24,Mylavaram,Reddygudem,Reddygudem
316,630,71,2015-06-13,Mylavaram,Ibrahimpatnam,GunTupalli
317,632,178,2015-05-29,Mylavaram,G. Konduru,Sunnampadu
318,632,115,2015-06-30,Jaggaiahpeta,Vatsavai,Lingala
319,635,50,2015-01-06,,,
320,636,279,2015-05-06,,,
321,636,484,2015-06-21,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
322,636,355,2015-06-25,Mylavaram,Mylavaram,Velvadam
323,637,113,2015-05-06,,,
324,642,133,2015-06-16,Jaggaiahpeta,Vatsavai,Kanneveedu
325,650,11,2015-05-06,,,
326,651,278,2015-06-15,Mylavaram,Reddygudem,Reddygudem
327,651,318,2015-06-28,Nandigama,Nandigama,Thakkellapadu
328,652,394,2015-06-25,Tiruvuru,A.Konduru,Ramachandrapuram
329,654,127,2015-05-26,Jaggaiahpeta,Vatsavai,Dechupalem
330,656,15,2015-05-25,,,
331,656,85,2015-04-06,,,
332,657,323,2015-07-06,,,
333,658,210,2015-06-23,Nandigama,Kanchikacherla,Gottimukkala
334,659,485,2015-06-21,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
335,664,443,2015-04-06,,,
336,664,293,2015-12-07,,,
337,665,407,2015-06-22,Tiruvuru,A.Konduru,Ramachandrapuram
338,666,96,2015-05-29,Mylavaram,Vijayawada (R),paidurpadu
339,666,498,2015-05-31,Jaggaiahpeta,Penuganchiprolu,Kollikulla
340,670,292,2015-06-19,Jaggaiahpeta,Nadigama,Rudravaram
341,672,226,2015-05-31,Nandigama,Kanchikacherla,Bathinapadu
342,672,471,2015-04-07,,,
343,673,131,2015-05-24,Jaggaiahpeta,Vatsavai,Talluru
344,676,68,2015-11-07,,,
345,677,147,2015-05-06,,,
346,677,260,2015-06-15,Jaggaiahpeta,Jaggaiahpeta,Gandrai
347,680,370,2015-07-15,Mylavaram,Ibrahimpatnam,Kondapalli
348,682,25,2015-05-24,Tiruvuru,Gampalagudem,CHINTALANARVA
349,682,266,2015-06-17,Mylavaram,Reddygudem,Reddygudem
350,682,445,2015-06-19,Tiruvuru,Gampalagudem,TUNIKIPADU
351,682,456,2015-06-25,Tiruvuru,Gampalagudem,DUNDIRLAPADU
352,683,236,2015-06-07,Nandigama,Chanderlapadu,Kasarabada
353,687,386,2015-03-06,,,
354,687,183,2015-06-16,Mylavaram,G. Konduru,Koduru
355,688,220,2015-01-07,,,
356,697,334,2015-05-29,Tiruvuru,Tiruvuru,Munukulla
357,697,433,2015-12-06,,,
358,701,463,2015-05-29,Tiruvuru,Gampalagudem,ANUMULLANKA
359,706,192,2015-08-07,,,
360,707,387,2015-10-06,,,
361,709,465,2015-06-16,Tiruvuru,Gampalagudem,TUNIKIPADU
362,710,104,2015-06-15,Mylavaram,Vijayawada (R),Kottur tadepalli
363,713,123,2015-06-26,Nandigama,Veerullapadu,Konathalapalli
364,714,365,2015-05-24,Mylavaram,Mylavaram,Pondugala
365,714,111,2015-10-07,,,
366,716,218,2015-06-13,Nandigama,Kanchikacherla,Gandepalli
367,717,450,2015-12-06,,,
368,718,290,2015-10-07,,,
369,719,161,2015-06-17,Jaggaiahpeta,Jaggaiahpeta,Bandipalem
370,720,210,2015-01-07,,,
371,721,368,2015-06-24,Mylavaram,Mylavaram,Velvadam
372,726,283,2015-08-07,,,
373,727,294,2015-06-19,Jaggaiahpeta,Nadigama,Rudravaram
374,728,368,2015-02-07,,,
375,731,261,2015-01-06,,,
376,736,50,2015-05-26,Nandigama,Veerullapadu,Bodawada
377,740,67,2015-03-06,,,
378,741,63,2015-05-28,Mylavaram,Ibrahimpatnam,Elaprolu
379,742,169,2015-06-26,Nandigama,Veerullapadu,Konathalapalli
380,742,472,2015-05-07,,,
381,743,284,2015-05-24,Mylavaram,Reddygudem,Rudra varam
382,743,159,2015-05-30,Nandigama,Veerullapadu,Chennarao Palem
383,745,492,2015-10-06,,,
384,745,167,2015-02-07,,,
385,745,192,2015-06-15,Mylavaram,G. Konduru,Koduru
386,748,229,2015-01-07,,,
387,749,173,2015-04-07,,,
388,752,113,2015-05-30,Jaggaiahpeta,Vatsavai,Kakaravai
389,752,402,2015-06-27,Tiruvuru,A.Konduru,Ramachandrapuram
390,753,173,2015-06-16,Mylavaram,G. Konduru,Kavuluru
391,757,404,2015-06-24,Tiruvuru,A.Konduru,Cheemalapadu
392,758,254,2015-06-07,Nandigama,Chanderlapadu,Pokkunuru
393,761,142,2015-06-21,Tiruvuru,A.Konduru,Khampampadu
394,762,298,2015-07-06,Nandigama,Nandigama,Kanchela
395,764,329,2015-05-26,Tiruvuru,Tiruvuru,Laxmipuram
396,764,314,2015-06-17,Nandigama,Nandigama,Pallagiri
397,766,351,2015-07-15,Mylavaram,Ibrahimpatnam,Kondapalli
398,766,178,2015-07-24,,,
399,767,25,2015-10-06,,,
400,768,167,2015-06-15,Jaggaiahpeta,Jaggaiahpeta,Bandipalem
401,772,275,2015-05-30,Mylavaram,Mylavaram,Morsumalli
402,772,443,2015-01-07,,,
403,773,21,2015-04-06,,,
404,774,365,2015-08-06,,,
405,776,229,2015-06-16,Nandigama,Chanderlapadu,Chinthalapadu
406,776,215,2015-01-07,,,
407,777,442,2015-06-24,Tiruvuru,Gampalagudem,DUNDIRLAPADU
408,777,136,2015-07-17,Jaggaiahpeta,Vatsavai,Vatsavai
409,778,245,2015-05-24,Jaggaiahpeta,Jaggaiahpeta,Takkellapadu
410,778,12,2015-05-27,Tiruvuru,Vissannapeta,Kondaparava
411,780,212,2015-01-07,,,
412,786,262,2015-10-06,,,
413,786,89,2015-06-30,Jaggaiahpeta,Vatsavai,Lingala
414,787,292,2015-06-27,Jaggaiahpeta,Nadigama,Gollamudi
415,787,22,2015-10-07,,,
416,793,248,2015-10-07,,,
417,795,316,2015-06-30,Jaggaiahpeta,Nadigama,Gollamudi
418,795,373,2015-06-26,Mylavaram,Mylavaram,Chandragudem
419,795,213,2015-07-16,Nandigama,Kanchikacherla,Kanchikacherla
420,796,386,2015-01-06,,,
421,796,360,2015-06-13,Mylavaram,Mylavaram,Velvadam
422,796,191,2015-06-27,Mylavaram,G. Konduru,Chevuturu
423,798,147,2015-05-31,Jaggaiahpeta,Jaggaiahpeta,Takkellapadu
424,798,257,2015-06-28,Jaggaiahpeta,Vatsavai,Magollu
425,798,392,2015-06-17,Tiruvuru,A.Konduru,Madhavaram
426,799,349,2015-06-30,Tiruvuru,Tiruvuru,Kokilampadu
427,802,388,2015-12-06,,,
428,804,359,2015-03-06,,,
429,804,462,2015-06-22,Tiruvuru,Gampalagudem,SOBBALA
430,806,500,2015-02-06,,,
431,806,152,2015-07-19,Nandigama,Chanderlapadu,Chanderlapadu
432,808,117,2015-08-07,,,
433,809,112,2015-05-06,,,
434,810,271,2015-06-16,Mylavaram,Reddygudem,kudapa
435,810,177,2015-06-15,Mylavaram,G. Konduru,Kavuluru
436,811,467,2015-05-30,Tiruvuru,Gampalagudem,KANUMURU
437,812,34,2015-07-07,Tiruvuru,Vissannapeta,Vissannapeta
438,813,376,2015-06-27,Mylavaram,Mylavaram,Velvadam
439,814,322,2015-05-22,Tiruvuru,Tiruvuru,Laxmipuram
440,819,363,2015-05-31,Mylavaram,Mylavaram,Chandrala
441,819,38,2015-06-07,Tiruvuru,Gampalagudem,GADEVARIGUDEM
442,820,168,2015-05-30,Nandigama,Chanderlapadu,Kasarabada
443,821,123,2015-06-27,Nandigama,Veerullapadu,Konathalapalli
444,822,290,2015-06-26,,,
445,822,123,2015-06-25,Nandigama,Veerullapadu,Konathalapalli
446,826,243,2015-05-28,,,
447,826,237,2015-05-06,,,
448,828,414,2015-10-06,,,
449,831,448,2015-06-17,Tiruvuru,Gampalagudem,KONIJARAL
450,834,330,2015-05-29,Tiruvuru,Tiruvuru,Erukopadu
451,834,298,2015-06-19,Nandigama,Nandigama,Ambarupeta
452,836,486,2015-05-29,Jaggaiahpeta,Penuganchiprolu,Lingaguduam
453,836,370,2015-06-24,Mylavaram,Mylavaram,Chandragudem
454,836,265,2015-06-26,,,
455,836,467,2015-06-14,Tiruvuru,Gampalagudem,GULLAPUDI
456,838,462,2015-07-07,Tiruvuru,Gampalagudem,VUTUKURU
457,839,340,2015-05-26,,,
458,841,208,2015-06-21,Nandigama,Kanchikacherla,Keesara
459,841,313,2015-06-23,Jaggaiahpeta,Nadigama,Konduru
460,843,277,2015-07-20,Mylavaram,Ibrahimpatnam,Kondapalli
461,844,291,2015-10-06,,,
462,851,196,2015-05-31,Mylavaram,G. Konduru,Duggiralapadu
463,851,265,2015-06-17,Mylavaram,Reddygudem,kudapa
464,853,497,2015-06-24,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
465,854,320,2015-02-07,,,
466,855,351,2015-06-13,Mylavaram,Mylavaram,Velvadam
467,858,347,2015-08-06,,,
468,859,26,2015-02-06,,,
469,859,283,2015-06-13,Mylavaram,Reddygudem,Reddygudem
470,859,37,2015-03-07,,,
471,862,187,2015-06-26,Mylavaram,G. Konduru,Chevuturu
472,862,463,2015-06-07,Tiruvuru,Gampalagudem,KONIJARAL
473,864,376,2015-11-06,,,
474,865,337,2015-04-06,,,
475,867,288,2015-11-06,,,
476,868,440,2015-10-06,,,
477,869,26,2015-06-22,Tiruvuru,Gampalagudem,SOBBALA
478,870,237,2015-07-23,Mylavaram,Ibrahimpatnam,Kondapalli
479,871,89,2015-08-07,,,
480,872,367,2015-02-06,,,
481,872,53,2015-05-06,,,
482,872,65,2015-06-07,Mylavaram,Ibrahimpatnam,Mulapadu
483,873,172,2015-06-26,Mylavaram,G. Konduru,Kavuluru
484,875,273,2015-05-28,Mylavaram,Reddygudem,Kunaparajparva
485,876,43,2015-06-23,Tiruvuru,Vissannapeta,Korlamanda
486,879,150,2015-06-20,Nandigama,Veerullapadu,Dodda Devara Padu
487,879,323,2015-12-06,,,
488,881,273,2015-02-06,,,
489,883,276,2015-03-06,,,
490,883,157,2015-07-06,,,
491,883,125,2015-06-16,Jaggaiahpeta,Vatsavai,Machinenipalem
